,id,purpose_normalized,ClassPurpose
10473,157245,reforma casa,investment
10482,157223,investimento negocio,investment
10483,157221,contas diversas,investment
10484,157218,quitar divida,debt
10487,157211,quitar a escola de meu enteado,investment
10488,157209,cirurgia,debt
10490,157206,começar um negócioempresa,debt
10491,157205,para construção de moradia,investment
10492,157204,nada a declarar,debt
10496,157199,pagar imposto itcmd,debt
10498,157195,investimento,investment
10499,157193,pagar contas,debt
10500,157192,pagar dividas,debt
10501,157190,saldar dividas,debt
10502,157189,quitar compromissos financeiros,debt
10503,157188,pagar dívidas,debt
10505,157185,cartão de credito,investment
10507,157180,quitar dividas,debt
10508,157179,para quitar cartões de crédito,debt
10512,157171,pagar outras contas pessoais,debt
10514,157168,investimento em um negocio,investment
10516,157165,reforma,debt
10517,157164,para nao deixar sujar meu nome,debt
10519,157159,investimento,investment
10521,157157,para investir na minha hidropônia,investment
10523,157153,pagamento de impostos provenientes da aquisição de um imóvel,debt
10524,157151,investir,investment
10526,157146,quitar contas e abrir uma loja de roupas evangelica feminina,debt
10527,157145,pagar contas,debt
10529,157141,para regularizar algumas dividas,debt
10531,157137,capital de giro empresa,investment
10532,157136,pagar dividas,debt
10533,157134,dvidasjuros e taxas menorescapital de giro investimento,investment
10534,157133,investimento empresa,investment
10539,157121,reforma casa,investment
10543,157115,investimentos,investment
10547,157110,pagamento de dívidas,debt
10550,157107,investimemto,investment
10552,157104,pagamentos diversos,investment
10557,157098,pagar banco,debt
10559,157096,nada a declarar,debt
10565,157090,investimento em negócio próprio,investment
10566,157089,pagar contas,debt
10569,157085,contas pessoais,debt
10570,157084,comprar um veículo para trabalhar,investment
10573,157081,investimento,investment
10575,157079,para obras,debt
10578,157069,reforma de imovel,investment
10579,157068,quitação de outras dívidas,debt
10583,157061,investir em um novo negócio,investment
10589,157049,pagar dividas,debt
10591,157045,nada a declarar,debt
10592,157044,quitar cartões,debt
10593,157043,saldar dívida de cartão de crédito,debt
10594,157042,pagar dívidas,debt
10595,157041,trocar divida,debt
10596,157039,negocial,debt
10598,157025,despesas diversas,debt
10602,157018,reforma,debt
10603,157016,para acertar as contas,investment
10606,157011,pra conserto do carro,debt
10607,157010,despesas gerais,debt
10613,157004,adquirir um imovel,investment
10617,156996,compra de casa,investment
10619,156994,debts_payment,debt
10624,156983,obras em um imovel para locação,investment
10627,156980,pagar contas e fazer uma viagem,debt
10628,156979,nada a declarar,debt
10635,156970,reformar casa,investment
10637,156968,para investir na minha empresa e ajudar no tratamento de saude de minha mãe,investment
10638,156967,nada a declarar,debt
10639,156965,investimento profissional,investment
10640,156963,quitar cheque especial e cartao de credito,debt
10643,156955,saldar dívida com juro maior,debt
10644,156954,para compra o carro,investment
10650,156946,carro,debt
10652,156940,nada a declarar,debt
10655,156937,compra de um bau de caminhao,investment
10656,156934,investimento,investment
10657,156929,nada a declarar,debt
10660,156926,viajem,investment
10665,156919,investimento,investment
10668,156916,para investir em um negócio,investment
10672,156912,quitar cartão de lojas,debt
10675,156909,para enterar pra pagar a documentação da minha casa,debt
10676,156908,educação,debt
10678,156906,nada a declarar,debt
10681,156900,fazer um evestimeto,investment
10682,156898,emprestimo pessoal,debt
10683,156897,pagamento de dívidas,debt
10685,156891,quitar outro empréstimo com parcelas maiores e,investment
10688,156885,pagar dividas,debt
10690,156883,investir no comercio,investment
10691,156882,estou com algumas dívida preciso quitala,debt
10694,156877,nada a declarar,debt
10698,156872,fazer um investimento,investment
10699,156871,pra realizar uma construção,investment
10700,156869,nada a declarar,debt
10702,156865,cirugia,debt
10704,156863,nada a declarar,debt
10705,156862,trabalhar,investment
10711,156852,investimento,investment
10712,156851,abrir um negócio,debt
10713,156850,pagar as 2 parcelas atrasadas colocar um seguro no carro e deixar um dinheiro na conta para abastecer e trabalhar na uber,debt
10714,156849,invertimentos,investment
10720,156841,nada a declarar,debt
10722,156838,investir em negócio próprio,investment
10725,156833,comprar outro carro,debt
10726,156832,reforma casa,investment
10727,156830,pagar dívidas,debt
10732,156822,uber,investment
10734,156819,investir no negócio,investment
10735,156818,dívidas,debt
10739,156814,giro na empresa,investment
10740,156813,para conserto do mesmo,debt
10742,156809,investir em negócio próprio,investment
10744,156807,mobiliar casa nova,investment
10747,156803,pagar dividas,debt
10748,156801,quitar umas dividas,debt
10749,156800,pagar emprestimos,debt
10750,156799,para regularizar minha situação financ cartão crédito,debt
10751,156798,pagar dividas,debt
10752,156797,quitar empréstimo com juros mais altos,debt
10756,156792,construir,investment
10767,156774,pagar dívidas,debt
10769,156772,abrir um negócio,debt
10770,156771,pagamento de conta de cartão de crédito,debt
10773,156765,pagar dívida,debt
10775,156763,investimentos,investment
10777,156760,quitar cheque especial,investment
10779,156758,reorganização financeira pessoal,investment
10782,156754,exclusão do nome em órgão de proteção ao crédito,debt
10786,156747,viagem exterior,investment
10789,156744,investimento em loja,investment
10790,156743,comprar uma casa,investment
10792,156739,gastos variados,debt
10797,156732,gastos diversos,debt
10799,156730,investimento em capital social para tornar sócio,investment
10805,156720,capital de giro,investment
10806,156719,para sair das restrições,debt
10807,156718,pra investir em meu negócio,investment
10811,156710,para dar entrada em outro veiculo,investment
10812,156709,quitar dividas pessoais,debt
10813,156706,gastos variados,debt
10815,156701,atualização de orçamento,investment
10824,156692,empresa,debt
10826,156689,quitar o carro,debt
10827,156688,quitar umas contas,debt
10832,156678,pagá dívidas,debt
10834,156676,quitar empréstimos concentrar dividas em uma só e regularizar o cpf,investment
10838,156671,investir negocio proprio,investment
10839,156669,pagar cartões de crédito,debt
10840,156668,desenvolvimento de sistema,investment
10846,156647,investir no meu negocio,investment
10849,156644,quitação de dividas,debt
10850,156643,comprar casa,investment
10851,156641,gastos pessoais,debt
10852,156639,saldar contas,debt
10858,156631,quitar veículo e investimentos,investment
10862,156625,trocar de carro,debt
10863,156622,comprar mais mercadoria para revende trabalho como vemdedo propio,investment
10866,156614,quitar outro veiculo,investment
10867,156613,regularizar situação financeira,debt
10868,156612,pagar dividas,debt
10875,156603,organização financeira intercâmbio,investment
10876,156602,quitar dividas,debt
10878,156599,para pagamentos diversos e comprar remedio,investment
10881,156594,nada a declarar,debt
10882,156591,pagar dividas,debt
10883,156590,quitar dividas,debt
10884,156588,finalizar obras de reforma em residência,debt
10885,156587,nada a declarar,debt
10889,156579,quitar dívidas,debt
10892,156569,compra de pneus parra carreta,investment
10895,156566,quitar dívida com amigo,debt
10897,156564,uso pessoal,debt
10898,156563,quitar cartao credito e const,debt
10899,156560,pagar as dividas,debt
10901,156558,credito pessoal,debt
10903,156555,construção de imóvel,investment
10910,156544,pagar dividas bem atrazadas,debt
10911,156541,quitação de dividas,debt
10912,156538,pagamento de contas,investment
10913,156537,nada a declarar,debt
10914,156536,nada a declarar,debt
10915,156535,realizar uma obra,debt
10916,156534,pagar dividas,debt
10917,156532,investimento em um ateliê,investment
10918,156530,investir no negócio,investment
10920,156527,pagar divida,debt
10921,156526,nada a declarar,debt
10924,156521,quitar dívidas pessoais,debt
10930,156509,reforma do apartamento,debt
10931,156508,nada a declarar,debt
10933,156506,quitar,investment
10935,156501,pagamentos de dúvidas,debt
10937,156498,pagar dividas,debt
10940,156494,refinanciar divida,investment
10942,156490,pagar dividas do cartão,debt
10945,156486,nada a declarar,debt
10946,156485,pagar dividas com taxas de juros mais altas,debt
10950,156480,saldar dividas,debt
10951,156479,investimento,investment
10954,156476,comprar um veículo,investment
10957,156470,pagar dívida,debt
10958,156466,comprar material para uma construçao,investment
10959,156465,para quitar outras dívidas,debt
10960,156464,casamento mobiliar apto,investment
10965,156456,nada a declarar,debt
10968,156450,nada a declarar,debt
10969,156448,para finaciar um carro,debt
10970,156446,fazer um novo investimento,investment
10971,156444,invertir,investment
10973,156441,nada a declarar,debt
10975,156439,investimento na empresa wwwtagcarscombr,investment
10978,156434,quitar contas,debt
10983,156425,quitar dívidas mais caras,debt
10986,156420,nada a declarar,debt
10989,156417,para reforma na residecia,investment
10992,156411,reforma da casa,investment
10999,156400,trocar de veiculo,debt
11002,156397,para investimentos,investment
11006,156391,pagar ocartao de cretito e outros tipos de dividas,debt
11007,156390,0,investment
11009,156388,nada a declarar,debt
11014,156382,comprar um carro,debt
11015,156379,para mim abrir um negocio propio,investment
11016,156377,investimento,investment
11017,156375,para negociar alguns acordos,debt
11019,156372,nada a declarar,debt
11021,156370,para um gasto emergencial,investment
11023,156366,pagar dividas,debt
11025,156364,comprar um data shou empressora,debt
11026,156362,investimento,investment
11033,156353,legalizar meu cpf,investment
11034,156352,pagar faculdade que meu filho não conseguiu,debt
11035,156351,para transferencia de divida,investment
11039,156346,quitar dívidas,debt
11040,156345,investimento,investment
11043,156341,pagamento de dívidas,debt
11045,156337,cobrir limite da conta,debt
11046,156332,dividas pessoais,debt
11047,156329,nada a declarar,debt
11050,156325,viagens,investment
11051,156323,pagar algumas contas,debt
11052,156321,compra imovel,investment
11054,156319,regularização de contascomprar moto,debt
11061,156307,me profissionalizar investir em certificação,investment
11063,156304,investimento em imovel,investment
11064,156302,reforma na casa,investment
11066,156297,quitar outras dividas,debt
11070,156291,contas,debt
11073,156287,investment_in_own_business,investment
11074,156286,capital de giro,investment
11076,156284,pra quintacao,investment
11078,156281,nada a declarar,debt
11081,156277,1500000,debt
11082,156273,pagar contas,debt
11093,156254,gastos diversos,debt
11096,156246,pagamento de cartão de crédti,debt
11097,156245,para quitar cartões é a prestação da minha casa,investment
11099,156238,gastos imprevistos,investment
11100,156237,para pagar contas diversas,debt
11102,156235,nada a declarar,debt
11105,156231,saldar dívidas,debt
11108,156226,dívidas diversas,debt
11109,156225,pagar dividas,debt
11112,156222,investir minha empresa,investment
11117,156216,quitar dividas veiculos e outros,debt
11118,156215,credito pessoal,debt
11120,156213,quitar cheque especial e cartões,debt
11123,156209,investimento,investment
11124,156208,fazer investimentos,investment
11126,156206,reforma de casa,debt
11128,156201,quitar dividas,debt
11131,156197,ivestimentos,investment
11132,156195,25000,debt
11134,156191,gastos variados,debt
11136,156188,investimento,investment
11139,156185,nada a declarar,debt
11142,156179,quitar divida e investir,investment
11145,156175,pagamento de fornecedores de minha empresa,debt
11149,156167,comprar equipamento de trabalho,investment
11151,156165,nada a declarar,debt
11152,156164,quitação da divida,debt
11157,156158,sanar dividas,debt
11158,156117,pagamentos diversos,investment
11160,156115,para complementar um investimento,investment
11161,156114,compra de bem,investment
11164,156110,cobrir cheque especial,investment
11166,156108,despesas pessoais,debt
11167,156106,sanar dívidas,debt
11172,156100,cirurgia,debt
11174,156098,quitar dívidas e regularizar restrições no meu cpf,debt
11176,156095,nada a declarar,debt
11180,156088,escola e cartão de crédito,debt
11181,156086,quitar cartão de crédito,debt
11182,156085,quitar empréstimo bancário,investment
11188,156078,investir em um negócio,investment
11189,156076,decoração e moveis planejados apartamento novo adqurido,investment
11190,156075,abrir um pequeno negocio e pagar ipva 2016,debt
11192,156072,dar andamento em obra em construção,investment
11194,156070,reforma e mudança,debt
11197,156064,pagar dividas mais caras com banco,debt
11200,156059,refinanciar divida,investment
11202,156056,quitá o carro,debt
11203,156054,neocios,investment
11204,156053,investimento para um pequeno negocio q possuo,investment
11205,156052,comprar carro,debt
11206,156051,financiar imovel,investment
11207,156050,fazer aniversario de dezoito anos do meu filho,debt
11210,156047,investimento capital de giro,investment
11211,156046,comprar um terreno,investment
11212,156044,investimento,investment
11214,156042,quitar dividas diferenciadas,debt
11218,156036,pagamentos diversos,investment
11219,156035,saldar algumas dívidas,debt
11221,156031,nada a declarar,debt
11222,156030,pagamento cheque especial e cartão de crédito,debt
11226,156024,para reforma pagamento de algumas dividas e se possivel quitar o veiculo,debt
11227,156023,investimento,investment
11228,156022,para quitar dividas com juros maior,debt
11229,156021,quitar dividas,debt
11230,156020,quitar dividas cartão de crédito e cheque especial,debt
11231,156017,quitar dividas,debt
11232,156016,moto,investment
11235,156012,comprar,investment
11239,156008,quitar contas,debt
11240,156006,complementar renda para estudo do filho no exterior,investment
11242,156003,nada a declarar,debt
11244,155999,para construção,investment
11247,155996,investimento pessoal,investment
11255,155984,para pagamento de contas equita o carro,debt
11257,155981,refinanciar divida,investment
11259,155979,investmento,investment
11260,155978,complemento de franquiadídidas,investment
11262,155975,capital de giro para micro empresa,investment
11265,155971,saude,debt
11266,155967,ajustes,debt
11267,155966,fazer algumas quitações,debt
11270,155960,colocar todas as dívidas numa só para organizar pagamentos,debt
11277,155952,envestimento,investment
11282,155944,investimento,investment
11285,155940,quitar dívidas,debt
11286,155939,preciso saldar algumas despesas,debt
11289,155936,investimento,investment
11290,155935,quitar cheque especial,investment
11293,155931,nada a declarar,debt
11294,155929,aumento da empresa,investment
11297,155926,pagar dividas,debt
11300,155921,compra de um carro reserva,investment
11303,155917,para abrir um nogocio propio,investment
11310,155900,investimnt,investment
11311,155899,ampliar negocio proprio,investment
11313,155897,investimento,investment
11318,155889,pagar dividas,debt
11319,155887,pagar limite de banco e doc do carro,debt
11320,155884,problemas de saúde na família,debt
11322,155880,para pagar dividas,debt
11327,155874,refinanciar dividas,investment
11330,155871,nada a declarar,debt
11331,155870,saldar algumas dividas,debt
11332,155869,reformacasa,debt
11335,155866,quitar imóvel,debt
11338,155862,gastos variados,debt
11344,155855,pagar dividas,debt
11348,155851,compra de veiculo,investment
11349,155850,pagar contas atrasadas de carnes de lojas,debt
11351,155848,investimento,investment
11353,155845,para pagar minhas dividas e fazer minha inseminação artificial,debt
11354,155844,nada a declarar,debt
11361,155831,fazer um investimento,investment
11365,155826,pagamento de cartão de crédito e outras contas,debt
11366,155822,licenciar o veiculo,debt
11368,155820,pagar contas,debt
11371,155815,investimento,investment
11374,155812,quitar a dívida,debt
11375,155811,compra um carro,debt
11380,155804,nada a declarar,debt
11383,155800,doença na familia,debt
11386,155797,pagamento de emprestimo bancario,investment
11387,155796,saldar dúvidas cartão,debt
11389,155794,compra do veiculo,investment
11393,155788,refinanciar dividas cartão e cheque especial,debt
11394,155787,terminar de construir a minha casa,debt
11396,155784,pagar tratamento de saúde da minha mãe,debt
11397,155780,comprar uma maquina,investment
11399,155778,problemas pessoais,debt
11400,155777,compra de veiculo,investment
11405,155771,comprar moveis para minha casa nova,investment
11408,155765,quitar dividas e investimento,investment
11409,155764,para poder quitar algumas contas,debt
11415,155755,pessoal,debt
11417,155753,adiantamento de receita,debt
11418,155752,pagamentos pessoais,debt
11420,155750,minha região estar com projetos eólicose comprei uns terrenos para construir quartos para alugar,investment
11422,155748,quitar cheque especial,investment
11425,155745,tenho uma firma e quero cubrir cheque especial,investment
11427,155743,capital de giro,investment
11431,155738,despesas extras,debt
11433,155735,paga dividas,debt
11434,155733,investimento,investment
11437,155730,pagar escola da minha filha,debt
11441,155724,quitar minha divida de um financiamiento de outro veiculo e terminar a reforma da minha casa pois moro na casa emprestada da minha vó,investment
11442,155723,gastos diversos,debt
11443,155722,quitar dividas do veiculo,debt
11444,155721,saudar dívida particular,debt
11445,155720,nada a declarar,debt
11447,155716,nada a declarar,debt
11452,155706,licenciamento renovação de alvará vistorias e multas,investment
11454,155703,quitar dividas,debt
11456,155699,refazer minha vida com apenas a prestação desse emprestimo,debt
11457,155698,divesos pagamentos,debt
11458,155697,nada a declarar,debt
11460,155693,para reforma,investment
11463,155687,reforma residência,debt
11466,155684,colocar dividas pessoais em dia,debt
11470,155680,comercio,investment
11471,155679,evitar cheque especial,investment
11476,155673,pagar dividas,debt
11478,155669,nada a declarar,debt
11481,155666,para cobrir limite bancário,debt
11486,155660,construção imóvel,investment
11488,155658,nada a declarar,debt
11489,155654,para quitar dividas anteriores,debt
11491,155649,nada a declarar,debt
11496,155644,para dar entrada em um caminhão bongo,debt
11498,155642,quitação de dividas e aquisição de moveis pro apartamento novo,investment
11499,155641,quitar dividas,debt
11507,155631,reforma da casa,investment
11510,155628,regularizar restrições,debt
11512,155626,pagar dividas,debt
11514,155621,compra veiculo,investment
11515,155620,estabilizar dívidas,debt
11516,155619,investir,investment
11517,155618,pagar dividas,debt
11520,155615,construir imóvel,investment
11521,155614,pagamento cheque especial,investment
11523,155612,pagamentos pessoais,debt
11526,155606,nada a declarar,debt
11527,155605,nada a declarar,debt
11530,155601,reforma do lar,debt
11531,155600,casamento,debt
11536,155595,finalização de pagamentos diversos,debt
11537,155594,pra fazer envestimento em minha faqueçao,investment
11538,155593,para construir,investment
11539,155592,pagar contas,debt
11542,155585,para comprar um carro,investment
11543,155584,financiamento automovel,investment
11545,155580,para quitar dívidas,debt
11546,155578,pagar catão,debt
11547,155577,quitar todas as dividas,debt
11548,155576,pagar uma divida,debt
11551,155570,diversos,investment
11552,155569,quitar outros empréstimos,investment
11553,155568,investimento residencial,investment
11554,155567,abrir um negocio e quitar ipva e licenciamento do carro e pagar faculdade da minha filha,debt
11555,155566,pagar dividas,debt
11556,155564,pagar entrada de uma casa,debt
11557,155563,quitar cheque especial,investment
11558,155559,construcao,investment
11559,155558,para dar entrada no carro,debt
11560,155556,construção,investment
11562,155554,possuo um empréstimo no banco do brasil que gostaria de quitar abater ao máximo a divida hoje está de cerce de r 40000 com parcelas mensais de r250000 e causa um grande desfalque na minha renda mensal além dos juros serem muito altos,investment
11563,155552,nada a declarar,debt
11564,155550,comprar,investment
11565,155548,pagar o cheque especial da minha conta pessoal,debt
11566,155547,quitar dívidas,debt
11568,155545,pagamento cartão de credito e cheque especial,debt
11569,155544,para quitar um emprestimo que tenho com o bradesco no valor de 750000 reais estou pagando quase 11 de juros o renstante do dinheiro eu ia juntar com a moto que tenho para comprar outro veiculo no valor de 950000 reais,debt
11571,155542,nada a declarar,debt
11572,155541,entrada apartamento,investment
11573,155540,pagar divida,debt
11576,155535,nada a declarar,debt
11577,155533,quitar débito bancário,debt
11579,155529,liquidar divida ch especial,investment
11580,155528,construção,investment
11581,155527,gastos diversos,debt
11582,155526,quitação de gastos variados,debt
11584,155522,pagar dívidas,debt
11585,155521,investimento em negócio,investment
11592,155484,quitar dívidas no cartão eoutras,debt
11593,155483,dívidas,debt
11594,155482,pagar contas,debt
11596,155448,cheque especial,debt
11598,155445,para trabalho,debt
11599,155443,refinanciar dividas,investment
11600,155442,financiar um carro,investment
11602,155438,resolver uns assuntos financeiros,debt
11603,155437,refinanciamento dívidas,debt
11608,155429,pra pagar uma divida,debt
11611,155423,fazer uma cirurgia,debt
11614,155419,quitar compromissos rurais,debt
11617,155415,nada a declarar,debt
11619,155413,pagar imposto,debt
11625,155400,contas,debt
11628,155392,investimento em curso de instalador de energia solar,investment
11631,155389,quitaçao,debt
11632,155387,para reformar minha casa,investment
11633,155386,nada a declarar,debt
11636,155382,tratamento de saúde,debt
11637,155378,investir em mercadorias,investment
11638,155377,quitar dívidas,debt
11640,155375,pagar dividas,debt
11641,155374,reforma no estabelecimento comercial,investment
11643,155372,nada a declarar,debt
11645,155367,aquisiçao de motocicleta,investment
11646,155365,nada a declarar,debt
11648,155363,para envestir en venda de roupas,debt
11653,155358,para quitar dividas,debt
11656,155352,investimento mei,investment
11657,155350,pagar conserto do veículo,debt
11660,155346,pagar dívida do veículo,debt
11661,155345,pagar algumas contas atrasadas,debt
11664,155337,quitar algumas dívidas,debt
11666,155335,pagar contas,debt
11667,155334,viajar,investment
11672,155327,reformas em casa,investment
11683,155309,preciso para investir na minha empresa,investment
11684,155307,quitar dívidas pendentes e ampliar negócio,debt
11685,155306,paga dividas,debt
11689,155301,pagar dividas pessoais,debt
11694,155292,comprar uma moto,investment
11697,155287,goods_acquisition,investment
11698,155285,para compra veiculo,investment
11700,155282,quita outras coisas,debt
11712,155264,quero fazer uma piscina,debt
11715,155260,negociacoes de dividas,debt
11716,155259,trabalho,debt
11717,155254,pagar dívidas poderia descontar na folha de pagamento prefeitura municipal porto calvo al,debt
11720,155251,saldar dividas,debt
11722,155248,nada a declarar,debt
11723,155244,para trocar por outra mais cara,debt
11727,155236,reforma de casa,debt
11730,155233,gastos variados,debt
11731,155231,gastos variados,debt
11733,155226,pagar dividas,debt
11736,155219,equilibrar o orçamento,investment
11737,155217,nada a declarar,debt
11739,155214,organizar finanças da família,investment
11741,155212,quitar outras dívidas,debt
11742,155210,nada a declarar,debt
11745,155207,investimento,investment
11746,155206,compra de outro veiculo usado e nao possuo entrada,investment
11747,155204,eliminar cheque especial,debt
11750,155200,investimento comercial,investment
11752,155197,despesas pessoais,debt
11756,155191,refinanciar dividas,investment
11762,155182,pagar divida,debt
11764,155179,paga o carro,debt
11765,155178,reforma da casa,investment
11766,155176,reforma da minha casa,investment
11767,155175,quitar o carro e pagar umas dividas,debt
11768,155174,para concluir a reforma de minha casa,debt
11775,155165,para pagar dívidas do cartão de crédito,debt
11776,155163,para investimento,investment
11777,155162,variacoes,investment
11779,155160,aumenta o rendimento do empredimento,debt
11782,155157,pagar dividas,debt
11786,155152,para capital de giro na empresa,investment
11791,155147,em vestir na minha casa,investment
11792,155145,fazer um investimento,investment
11795,155136,nada a declarar,debt
11799,155132,construção,investment
11801,155129,pagar taxa de cartório,debt
11802,155128,fazendo empréstimo para comprar e revender produtos do tipo celular para revendas,investment
11804,155125,pagar dividas,debt
11810,155117,trocar de carro,debt
11811,155116,quitar dividas,debt
11812,155115,1500000,debt
11813,155113,para saldar dívidas,debt
11815,155109,uso pessoal,debt
11817,155107,pagar dívidas,debt
11818,155106,pagar documentação da minha casa pois vendi mas tenho que pagar p finalizar a venda,debt
11826,155098,pagar dividas atrasadas,debt
11827,155097,nada a declarar,debt
11828,155096,limite de credito loja,debt
11829,155095,quitar outras dividas,debt
11831,155092,para investir em negocio imobiliario,investment
11832,155091,adquirir imovel,investment
11834,155088,quitar dívidas com juros,debt
11837,155079,trocar outra divida por uma com taxa melhor,debt
11838,155078,quitação do veículo e pagamentos de outros débitos,debt
11842,155070,para reformas manutensao do carro,debt
11845,155064,entrada,investment
11846,155062,para dá entrada em um carro,debt
11848,155059,para comprar o carro,investment
11849,155058,para pagar algumasdividas,debt
11852,155054,trocar de carro,debt
11855,155051,costruir,debt
11857,155049,para investimento,investment
11860,155042,nada a declarar,debt
11865,155035,nada a declarar,debt
11866,155034,regular documentaçao de inventario,investment
11867,155031,quitar dividas pessoais,debt
11870,155027,negócios,debt
11871,155026,pagar cartoes credito,investment
11873,155024,pagar as parcelas atrasadas do carro,debt
11880,155016,precisando quitar divídas,debt
11882,155014,investimento pequeno negocio,investment
11883,155013,nada a declarar,debt
11885,155010,nada a declarar,debt
11888,155004,pagamento de contas,investment
11890,155001,construir,investment
11893,154998,despesas diversas,debt
11894,154997,nada a declarar,debt
11896,154995,pagamento,investment
11902,154986,construção,investment
11903,154985,pagar dívidas,debt
11906,154982,nada a declarar,debt
11907,154981,para resolver alguns negócios,debt
11908,154980,quitar uma conta,debt
11911,154976,investimento no meu trabalho,investment
11913,154974,pagar contas,debt
11915,154971,licenciamento de veiculos investir em negocio proprio,investment
11919,154966,reforma,debt
11920,154965,investimento,investment
11922,154963,pagar dívidas,debt
11925,154959,para pagar contas diversas o carro está com as prestações em dia,debt
11927,154957,quitar o cartao de credito,debt
11931,154952,nada a declarar,debt
11932,154950,goods_acquisition,investment
11933,154949,nada a declarar,debt
11935,154947,e pra fazer um perqueno emvertimento,investment
11936,154946,pagamento de moveis para o apartamento,investment
11939,154942,organização financeira,investment
11940,154941,saude,debt
11941,154939,pagar contas,debt
11944,154935,gastos diversos,debt
11946,154933,organizar as despesas,debt
11947,154931,pagar umas dívidas,debt
11948,154930,quitar um imóvel rural,debt
11950,154928,pagar contas,debt
11951,154926,capital de giro,investment
11952,154924,pagar dividas,debt
11956,154914,investimento negócio próprio,investment
11957,154913,nada a declarar,debt
11962,154908,compra de carro,investment
11963,154907,completar o dinheiro da compra de um veiculo,investment
11968,154900,investimento,investment
11971,154897,investimento,investment
11972,154896,aniversário 15 anos da minha filha,investment
11974,154894,para pagar contas,debt
11977,154890,capital de giro,investment
11979,154887,quitar dívida com o banco,debt
11980,154885,trabalhar,investment
11982,154881,diversos,investment
11983,154879,pagamento de dívidas,debt
11985,154877,pagar algumas dividas,debt
11989,154871,fazer uma poupança,debt
11991,154869,para investimento,investment
11993,154866,investimento,investment
11994,154865,complementar valor para quitar divida com valor mais alto e com prazo maior,investment
12001,154854,compra veículo,investment
12002,154853,cobrir juros bancários,debt
12004,154850,para quitar uma divida,debt
12005,154849,quitar umas contas,debt
12009,154844,pagar dividas,debt
12012,154840,vendi este veículo no valor de 18 mil e preciso de 6 mil para compra de outro veículo,debt
12014,154837,pagar contas,debt
12015,154836,refinanciar débitos e tratamento odontológico,debt
12016,154835,para quitar umas dividas,debt
12017,154834,dispesas diversas,debt
12020,154827,pagar dividas,debt
12021,154826,capital de giro para minha empresa,investment
12023,154823,investir,investment
12025,154816,outras despesas,debt
12026,154815,pagamentos de divida,debt
12029,154812,investment_in_own_business,investment
12030,154811,investimento,investment
12033,154806,investimento pessoal,investment
12036,154802,saldar parcela de compra de parte de herança,investment
12037,154801,novos negócios,debt
12039,154799,financiamento de carro,investment
12041,154797,fazer investimento negocio fluxo caixa,investment
12043,154794,medico,investment
12045,154792,para quitar uma divida,debt
12049,154787,pagamentos,investment
12051,154784,investimento,investment
12052,154783,pessoal,debt
12053,154782,pagar dividas,debt
12055,154779,capital de giro,investment
12057,154776,concentrar as dívidas menores em uma só,debt
12058,154773,pagar limite de credito,debt
12059,154772,adquirir,investment
12062,154769,quitar outras dívidas,debt
12064,154764,pagar contas,debt
12066,154761,investir em meu comércio,investment
12067,154759,diversos,investment
12071,154754,para quitar o cheque especial,debt
12072,154753,pagamento de dívida,debt
12073,154750,para investir na minha pizzaria,investment
12078,154740,casar,debt
12080,154738,nada a declarar,debt
12082,154734,quitar contas,debt
12083,154732,pessoal,debt
12084,154731,reforma de imóvel,investment
12096,154714,cobrir conta bancaria,debt
12099,154710,investimentos,investment
12104,154701,trocar dividas,debt
12107,154698,real_estate_renovation,investment
12111,154693,investimento,investment
12116,154688,para quitar as dividas e ficar pagando so esse emprestimo,debt
12118,154685,renegociar dividas,debt
12119,154683,regularizar dividas pessoais,debt
12122,154676,para comprar uma maquina de estampar camiseta,investment
12123,154675,quitar um empréstimo com uma taxa alta de juros,investment
12127,154669,abrir um negócio,debt
12130,154666,emvestir em minha casa,investment
12131,154665,pra compra mercadoria pra trabalha,investment
12132,154664,pagar contar,debt
12133,154662,unificar credito pessoal e dois cartoes de credito,debt
12134,154661,capital de giro,investment
12139,154656,sair do cheque especial,debt
12140,154655,pagamento de contas,investment
12142,154651,dividas diversas,investment
12146,154647,nada a declarar,debt
12148,154645,quitar cartão de crédito,debt
12149,154643,cheque especial e cartão,debt
12150,154642,reforma de casa,debt
12151,154640,para regularizar pendencias,debt
12155,154619,quitação de dívidas pessoais,debt
12157,154616,nada a declarar,debt
12160,154613,quitar dividas,debt
12163,154606,nada a declarar,debt
12164,154605,quitar cheque especial,investment
12166,154603,pagar dividas,debt
12169,154597,quitar emprestimos com taxa mais alta,debt
12172,154594,reparos na casa em que moro,investment
12174,154592,quitar dívidas,debt
12175,154591,liquidar dividas empresariais,investment
12179,154587,pagar dívidas,debt
12183,154583,pagar contas variadas,debt
12187,154578,casamento,debt
12189,154575,investimento,investment
12192,154563,quitar um empréstimo com juros maior e aplicar uma parte no meu negócio,investment
12204,154548,pagar dívidas,debt
12205,154547,paga o conserto do carro,debt
12206,154546,saudar algumas dívidas e compra de ferramentas,debt
12207,154545,nada a declarar,debt
12211,154538,acerta meu apartamento 3 parcelasentre outras dividas,investment
12213,154536,nada a declarar,debt
12216,154533,pagar dividas,debt
12220,154527,pessoal,debt
12221,154526,comprar um carro,debt
12229,154516,nada a declarar,debt
12234,154509,hoje para tratamento de saúde,debt
12235,154508,reforma de casa,debt
12240,154501,investimentos na minha casa,investment
12242,154498,arrumar meu 2veiculo motivo acidente,debt
12244,154493,pagar dívida,debt
